sra,sample_id,species,family,tissue,stress,bioproject
SRR1598911,A_hypochondria_001,A_hypochondria,Amaranthacea,flower,healthy, PRJNA263128
SRR1598912,A_hypochondria_002,A_hypochondria,Amaranthacea,leaf,healthy, PRJNA263128
SRR1598913,A_hypochondria_003,A_hypochondria,Amaranthacea,root,healthy, PRJNA263128
SRR1598910,A_hypochondria_004,A_hypochondria,Amaranthacea,stem,healthy, PRJNA263128
SRR1598914,A_hypochondria_005,A_hypochondria,Amaranthacea,other,drought, PRJNA263128
SRR1598909,A_hypochondria_006,A_hypochondria,Amaranthacea,seed,healthy, PRJNA263128
SRR1598916,A_hypochondria_007,A_hypochondria,Amaranthacea,seed,healthy, PRJNA263128
SRR1598915,A_hypochondria_008,A_hypochondria,Amaranthacea,seedling,healthy, PRJNA263128
SRR1642915,A_officinalis_001,A_officinalis,Asparagaceae,flower,healthy,NA
SRR1642914,A_officinalis_002,A_officinalis,Asparagaceae,flower,healthy,NA
SRR1642913,A_officinalis_003,A_officinalis,Asparagaceae,flower,healthy,NA
SRR1642911,A_officinalis_004,A_officinalis,Asparagaceae,flower,healthy,NA
SRR1642910,A_officinalis_005,A_officinalis,Asparagaceae,flower,healthy,NA
SRR3765676,A_officinalis_006,A_officinalis,Asparagaceae,root,healthy,NA
SRR5818212,A_sativa_001,A_sativa,Poaceae,leaf,drought,NA
SRR5818213,A_sativa_001,A_sativa,Poaceae,leaf,drought,NA
SRR5818216,A_sativa_001,A_sativa,Poaceae,leaf,drought,NA
SRR5818214,A_sativa_002,A_sativa,Poaceae,leaf,healthy,NA
SRR5818215,A_sativa_002,A_sativa,Poaceae,leaf,healthy,NA
SRR5818217,A_sativa_002,A_sativa,Poaceae,leaf,healthy,NA
SRR1219535,A_sativum_001,A_sativum,Amaryllidaceae,leaf,healthy,NA
SRR1219644,A_sativum_002,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR1219646,A_sativum_003,A_sativum,Amaryllidaceae,root,healthy,NA
SRR1219796,A_sativum_004,A_sativum,Amaryllidaceae,flower,healthy,NA
SRR1219989,A_sativum_005,A_sativum,Amaryllidaceae,flower,healthy,NA
SRR1220207,A_sativum_006,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR8581126,A_sativum_007,A_sativum,Amaryllidaceae,fruit,cold,NA
SRR8581127,A_sativum_007,A_sativum,Amaryllidaceae,fruit,cold,NA
SRR8581131,A_sativum_007,A_sativum,Amaryllidaceae,fruit,cold,NA
SRR8581128,A_sativum_008,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR8581129,A_sativum_008,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR8581130,A_sativum_008,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR12278226,A_sativum_009,A_sativum,Amaryllidaceae,seed,healthy,NA
SRR12278227,A_sativum_009,A_sativum,Amaryllidaceae,seed,healthy,NA
SRR12278228,A_sativum_010,A_sativum,Amaryllidaceae,seed,healthy,NA
