Group,GroupIndex,NodeID
mu,12,cube0_cluster0
pi,16,cube0_cluster1
omicron,15,cube0_cluster2
rho,17,cube0_cluster3
mu,12,cube1_cluster0
pi,16,cube1_cluster1
omicron,15,cube1_cluster2
rho,17,cube1_cluster3-cube2_cluster5
mu,12,cube2_cluster0
pi,16,cube2_cluster1
xi,14,cube2_cluster2
kappa,10,cube2_cluster3
omicron,15,cube2_cluster4
mu,12,cube3_cluster0
xi,14,cube3_cluster1
pi,16,cube3_cluster2
lambda,11,cube3_cluster3
kappa,10,cube3_cluster4
omicron,15,cube3_cluster5
rho,17,cube3_cluster6
mu,12,cube4_cluster0
xi,14,cube4_cluster1
pi,16,cube4_cluster2
lambda,11,cube4_cluster3
kappa,10,cube4_cluster4
omicron,15,cube4_cluster5
rho,17,cube4_cluster6
mu,12,cube5_cluster0
pi,16,cube5_cluster1
omicron,15,cube5_cluster2
lambda,11,cube5_cluster3
kappa,10,cube5_cluster4
mu,12,cube6_cluster0
nu,13,cube6_cluster1
lambda,11,cube6_cluster2
kappa,10,cube6_cluster3
nu,13,cube7_cluster0
kappa,10,cube7_cluster1
iota,9,cube7_cluster2
theta,8,cube8_cluster0
theta,8,cube9_cluster0
theta,8,cube10_cluster0
eta,7,cube11_cluster0
eta,7,cube12_cluster0
eta,7,cube13_cluster0
eta,7,cube14_cluster0
eta,7,cube15_cluster0
eta,7,cube16_cluster0
eta,7,cube17_cluster0
eta,7,cube18_cluster0
eta,7,cube19_cluster0
eta,7,cube20_cluster0
eta,7,cube21_cluster0
eta,7,cube22_cluster0
eta,7,cube23_cluster0
eta,7,cube24_cluster0
eta,7,cube25_cluster0
eta,7,cube26_cluster0
eta,7,cube27_cluster0
eta,7,cube28_cluster0
eta,7,cube29_cluster0
eta,7,cube30_cluster0
eta,7,cube31_cluster0
eta,7,cube32_cluster0
eta,7,cube33_cluster0
eta,7,cube34_cluster0
eta,7,cube35_cluster0
eta,7,cube36_cluster0
eta,7,cube37_cluster0
eta,7,cube38_cluster0
eta,7,cube39_cluster0
eta,7,cube40_cluster0
eta,7,cube41_cluster0
gamma,3,cube42_cluster0
zeta,6,cube42_cluster1-cube43_cluster1
gamma,3,cube43_cluster0
gamma,3,cube44_cluster0
beta,2,cube45_cluster0
delta,4,cube45_cluster1
epsilon,5,cube46_cluster0
beta,2,cube46_cluster1
beta,2,cube47_cluster0
epsilon,5,cube47_cluster1
epsilon,5,cube48_cluster0
beta,2,cube48_cluster1
epsilon,5,cube49_cluster0
alpha,1,cube51_cluster0
alpha,1,cube52_cluster0
alpha,1,cube53_cluster0
alpha,1,cube54_cluster0
alpha,1,cube55_cluster0
sigma,18,cube62_cluster0-cube63_cluster0
