Group,GroupIndex,NodeID
alpha,1,cube0_cluster0
alpha,1,cube1_cluster0
alpha,1,cube2_cluster0
alpha,1,cube3_cluster0
alpha,1,cube4_cluster0
alpha,1,cube5_cluster0
alpha,1,cube6_cluster0
alpha,1,cube7_cluster0
alpha,1,cube8_cluster0
alpha,1,cube9_cluster0
alpha,1,cube10_cluster0
alpha,1,cube11_cluster0
alpha,1,cube12_cluster0
alpha,1,cube13_cluster0
alpha,1,cube14_cluster0
alpha,1,cube15_cluster0
alpha,1,cube16_cluster0
alpha,1,cube17_cluster0
alpha,1,cube18_cluster0
alpha,1,cube19_cluster0
alpha,1,cube20_cluster0
alpha,1,cube21_cluster0
alpha,1,cube22_cluster0
alpha,1,cube23_cluster0
alpha,1,cube24_cluster0
alpha,1,cube25_cluster0
alpha,1,cube26_cluster0
alpha,1,cube27_cluster0
alpha,1,cube28_cluster0
alpha,1,cube29_cluster0
alpha,1,cube30_cluster0
alpha,1,cube31_cluster0
alpha,1,cube32_cluster0
alpha,1,cube33_cluster0
alpha,1,cube34_cluster0
alpha,1,cube35_cluster0
alpha,1,cube36_cluster0
alpha,1,cube37_cluster0
beta,2,cube38_cluster0
beta,2,cube39_cluster0
beta,2,cube40_cluster0
beta,2,cube41_cluster0
beta,2,cube42_cluster0
beta,2,cube43_cluster0
beta,2,cube44_cluster0
beta,2,cube45_cluster0
beta,2,cube46_cluster0
beta,2,cube47_cluster0
beta,2,cube48_cluster0
beta,2,cube49_cluster0
beta,2,cube50_cluster0
beta,2,cube51_cluster0
beta,2,cube52_cluster0
beta,2,cube53_cluster0
beta,2,cube54_cluster0
beta,2,cube55_cluster0
beta,2,cube56_cluster0
beta,2,cube57_cluster0
beta,2,cube58_cluster0
beta,2,cube59_cluster0
beta,2,cube60_cluster0
beta,2,cube61_cluster0
beta,2,cube62_cluster0
beta,2,cube63_cluster0
beta,2,cube64_cluster0
beta,2,cube65_cluster0
beta,2,cube66_cluster0
beta,2,cube67_cluster0
beta,2,cube68_cluster0
beta,2,cube69_cluster0
beta,2,cube70_cluster0
beta,2,cube71_cluster0
beta,2,cube72_cluster0
beta,2,cube73_cluster0
beta,2,cube74_cluster0
beta,2,cube75_cluster0
beta,2,cube76_cluster0
beta,2,cube77_cluster0
delta,4,cube78_cluster0
delta,4,cube79_cluster0
delta,4,cube80_cluster0
delta,4,cube81_cluster0
delta,4,cube81_cluster1-cube82_cluster1
delta,4,cube82_cluster0
gamma,3,cube82_cluster2
delta,4,cube83_cluster0
gamma,3,cube83_cluster1-cube84_cluster1
delta,4,cube84_cluster0
epsilon,5,cube84_cluster2-cube85_cluster1-cube86_cluster1
delta,4,cube85_cluster0
delta,4,cube86_cluster0
delta,4,cube87_cluster0
delta,4,cube88_cluster0
mu,12,cube88_cluster1-cube89_cluster2
nu,13,cube89_cluster0
iota,9,cube89_cluster1
zeta,6,cube89_cluster3-cube90_cluster5-cube91_cluster4-cube92_cluster6-cube93_cluster5-cube94_cluster5
nu,13,cube90_cluster0
kappa,10,cube90_cluster1
epsilon,5,cube90_cluster2
theta,8,cube90_cluster3
mu,12,cube90_cluster4-cube91_cluster3
iota,9,cube90_cluster6
nu,13,cube91_cluster0
kappa,10,cube91_cluster1
theta,8,cube91_cluster2-cube92_cluster3
iota,9,cube91_cluster5
nu,13,cube92_cluster0
lambda,11,cube92_cluster1-cube93_cluster1-cube94_cluster2
kappa,10,cube92_cluster2
eta,7,cube92_cluster4-cube93_cluster3
mu,12,cube92_cluster5
iota,9,cube92_cluster7
nu,13,cube93_cluster0
theta,8,cube93_cluster2
mu,12,cube93_cluster4-cube94_cluster4
iota,9,cube93_cluster6
kappa,10,cube94_cluster0
nu,13,cube94_cluster1
theta,8,cube94_cluster3
iota,9,cube94_cluster6
kappa,10,cube95_cluster0
nu,13,cube95_cluster1
lambda,11,cube95_cluster2
theta,8,cube95_cluster3
mu,12,cube95_cluster4-cube96_cluster3
iota,9,cube95_cluster5
nu,13,cube96_cluster0
lambda,11,cube96_cluster1
theta,8,cube96_cluster2
iota,9,cube96_cluster4
kappa,10,cube97_cluster0
nu,13,cube97_cluster1
theta,8,cube97_cluster2
mu,12,cube97_cluster3
iota,9,cube97_cluster4-cube98_cluster3
kappa,10,cube98_cluster0
nu,13,cube98_cluster1
theta,8,cube98_cluster2
kappa,10,cube99_cluster0
nu,13,cube99_cluster1
iota,9,cube99_cluster2
kappa,10,cube100_cluster0
nu,13,cube100_cluster1
iota,9,cube100_cluster2
kappa,10,cube101_cluster0-cube102_cluster0-cube103_cluster0
nu,13,cube101_cluster1
lambda,11,cube101_cluster2
iota,9,cube101_cluster3
nu,13,cube102_cluster1
iota,9,cube102_cluster2
nu,13,cube103_cluster1
iota,9,cube103_cluster2
kappa,10,cube104_cluster0
nu,13,cube104_cluster1
theta,8,cube104_cluster2
kappa,10,cube105_cluster0-cube106_cluster0
nu,13,cube105_cluster1
nu,13,cube106_cluster1
nu,13,cube107_cluster0
kappa,10,cube107_cluster1
nu,13,cube108_cluster0
sigma,18,cube108_cluster1
nu,13,cube109_cluster0-cube110_cluster0
sigma,18,cube109_cluster1-cube110_cluster2-cube111_cluster2-cube112_cluster2-cube113_cluster2-cube114_cluster2-cube115_cluster2
rho,17,cube110_cluster1
nu,13,cube111_cluster0
rho,17,cube111_cluster1
nu,13,cube112_cluster0-cube113_cluster0
rho,17,cube112_cluster1
rho,17,cube113_cluster1
nu,13,cube114_cluster0
rho,17,cube114_cluster1
nu,13,cube115_cluster0
rho,17,cube115_cluster1-cube116_cluster2-cube117_cluster2
xi,14,cube115_cluster3
nu,13,cube116_cluster0
