Group,GroupIndex,NodeID
alpha,1,cube0_cluster0
alpha,1,cube1_cluster0
alpha,1,cube2_cluster0
alpha,1,cube3_cluster0
alpha,1,cube4_cluster0
alpha,1,cube5_cluster0
alpha,1,cube6_cluster0
alpha,1,cube7_cluster0
alpha,1,cube8_cluster0
alpha,1,cube9_cluster0
alpha,1,cube10_cluster0
gamma,3,cube10_cluster1
beta,2,cube11_cluster0
gamma,3,cube11_cluster1-cube12_cluster1
beta,2,cube12_cluster0
beta,2,cube13_cluster0
gamma,3,cube13_cluster1
beta,2,cube14_cluster0
gamma,3,cube14_cluster1
beta,2,cube15_cluster0
delta,4,cube15_cluster1
gamma,3,cube15_cluster2-cube16_cluster2-cube17_cluster2
beta,2,cube16_cluster0
delta,4,cube16_cluster1
beta,2,cube17_cluster0
delta,4,cube17_cluster1
beta,2,cube18_cluster0
beta,2,cube19_cluster0
beta,2,cube20_cluster0
beta,2,cube21_cluster0
beta,2,cube22_cluster0
delta,4,cube22_cluster1
beta,2,cube23_cluster0
delta,4,cube23_cluster1
delta,4,cube24_cluster0
delta,4,cube25_cluster0
delta,4,cube26_cluster0
delta,4,cube27_cluster0
delta,4,cube28_cluster0
delta,4,cube29_cluster0
delta,4,cube30_cluster0
delta,4,cube31_cluster0
delta,4,cube32_cluster0
delta,4,cube33_cluster0
delta,4,cube34_cluster0
delta,4,cube35_cluster0
delta,4,cube36_cluster0
delta,4,cube37_cluster0
delta,4,cube38_cluster0
delta,4,cube39_cluster0
delta,4,cube40_cluster0
delta,4,cube41_cluster0
zeta,6,cube41_cluster1
delta,4,cube42_cluster0
zeta,6,cube42_cluster1-cube43_cluster1
delta,4,cube43_cluster0
delta,4,cube44_cluster0
zeta,6,cube44_cluster1
delta,4,cube45_cluster0
zeta,6,cube45_cluster1
delta,4,cube46_cluster0
zeta,6,cube46_cluster1
delta,4,cube47_cluster0
zeta,6,cube47_cluster1
delta,4,cube48_cluster0
zeta,6,cube48_cluster1
delta,4,cube49_cluster0
zeta,6,cube49_cluster1
delta,4,cube50_cluster0
zeta,6,cube50_cluster1
delta,4,cube51_cluster0
zeta,6,cube51_cluster1
delta,4,cube52_cluster0
zeta,6,cube52_cluster1-cube53_cluster1
delta,4,cube53_cluster0
delta,4,cube54_cluster0
zeta,6,cube54_cluster1-cube55_cluster1
delta,4,cube55_cluster0
delta,4,cube56_cluster0
epsilon,5,cube57_cluster0
delta,4,cube58_cluster0
delta,4,cube59_cluster0
delta,4,cube60_cluster0
delta,4,cube61_cluster0
delta,4,cube62_cluster0
delta,4,cube63_cluster0
delta,4,cube64_cluster0
delta,4,cube65_cluster0
delta,4,cube66_cluster0
delta,4,cube67_cluster0
delta,4,cube68_cluster0
delta,4,cube69_cluster0
delta,4,cube70_cluster0
eta,7,cube71_cluster0
xi,14,cube71_cluster1
psi,23,cube71_cluster2-cube72_cluster2-cube73_cluster3-cube74_cluster3-cube75_cluster2-cube76_cluster2-cube77_cluster4
omicron,15,cube71_cluster3
eta,7,cube72_cluster0
omicron,15,cube72_cluster1
eta,7,cube73_cluster0
omicron,15,cube73_cluster1
xi,14,cube73_cluster2-cube74_cluster2
theta,8,cube74_cluster0
omicron,15,cube74_cluster1
eta,7,cube75_cluster0
omicron,15,cube75_cluster1
eta,7,cube76_cluster0
omicron,15,cube76_cluster1
eta,7,cube77_cluster0
kappa,10,cube77_cluster1
omicron,15,cube77_cluster2
iota,9,cube77_cluster3
eta,7,cube78_cluster0
lambda,11,cube78_cluster1
kappa,10,cube78_cluster2-cube79_cluster1
omicron,15,cube78_cluster3-cube79_cluster2
iota,9,cube78_cluster4-cube79_cluster3
eta,7,cube79_cluster0
lambda,11,cube79_cluster4
eta,7,cube80_cluster0
kappa,10,cube80_cluster1
omicron,15,cube80_cluster2
iota,9,cube80_cluster3-cube81_cluster2-cube82_cluster2
lambda,11,cube80_cluster4-cube81_cluster6-cube82_cluster7
omicron,15,cube81_cluster0
eta,7,cube81_cluster1
kappa,10,cube81_cluster3
chi,22,cube81_cluster4
rho,17,cube81_cluster5
sigma,18,cube82_cluster0
eta,7,cube82_cluster1
eta,7,cube82_cluster3
kappa,10,cube82_cluster4
chi,22,cube82_cluster5
rho,17,cube82_cluster6-cube83_cluster7
eta,7,cube83_cluster0
tau,19,cube83_cluster1
iota,9,cube83_cluster2
lambda,11,cube83_cluster3
eta,7,cube83_cluster4-cube84_cluster3
mu,12,cube83_cluster5
chi,22,cube83_cluster6
sigma,18,cube84_cluster0
iota,9,cube84_cluster1-cube85_cluster1
lambda,11,cube84_cluster2
nu,13,cube84_cluster4
mu,12,cube84_cluster5
eta,7,cube84_cluster6-cube85_cluster5-cube86_cluster5-cube87_cluster4
chi,22,cube84_cluster7
rho,17,cube84_cluster8
sigma,18,cube85_cluster0
lambda,11,cube85_cluster2
nu,13,cube85_cluster3
mu,12,cube85_cluster4
chi,22,cube85_cluster6-cube86_cluster7-cube87_cluster6-cube88_cluster5
rho,17,cube85_cluster7-cube86_cluster8
pi,16,cube86_cluster0
tau,19,cube86_cluster1
iota,9,cube86_cluster2
nu,13,cube86_cluster3
mu,12,cube86_cluster4
upsilon,20,cube86_cluster6
rho,17,cube86_cluster9
pi,16,cube87_cluster0
tau,19,cube87_cluster1
nu,13,cube87_cluster2
mu,12,cube87_cluster3
upsilon,20,cube87_cluster5
rho,17,cube87_cluster7-cube88_cluster6-cube89_cluster6-cube90_cluster5
rho,17,cube87_cluster8-cube88_cluster7
pi,16,cube88_cluster0
upsilon,20,cube88_cluster1
nu,13,cube88_cluster2
mu,12,cube88_cluster3
eta,7,cube88_cluster4-cube89_cluster4
